CB代號,股票,名稱,產業,轉換價,股票現價,CB理論價,CB現價,CB/理論%,股/轉換%
11011,1101,台泥一永,水泥,35.2,24.5,69.60,99,142.24,69.60
12561,1256,鮮活果汁一KY,食品,189.1,161.5,85.40,98.3,115.10,85.40
13166,1316,上曜六,化學,17.4,11,63.22,106,167.67,63.22
13382,1338,廣華二KY,化學,37.6,16.35,43.48,100.8,231.81,43.48
140201,1402,遠東新E1永,紡織,43.1,25.75,59.74,100.55,168.30,59.74
140202,1402,遠東新E2永,紡織,31.7,25.75,81.23,98.4,121.14,81.23
14363,1436,華友聯三,紡織,128.7,49.95,38.81,100.1,257.92,38.81
14364,1436,華友聯四,紡織,99,49.95,50.45,94.4,187.10,50.45
14381,1438,三地開發一,紡織,55.88,22.15,39.64,119.7,301.98,39.64
14664,1466,聚隆四,紡織,18.8,16.3,86.70,104.95,121.05,86.70
14722,1472,三洋實業二,紡織,98.6,89.3,90.57,106.5,117.59,90.57
14723,1472,三洋實業三,紡織,101.5,89.3,87.98,98,111.39,87.98
14743,1474,弘裕三,紡織,14,10,71.43,91.7,128.38,71.43
15142,1514,亞力二,電機,109.2,110,100.73,128.9,127.96,100.73
15261,1526,日馳一,汽車,37.29,16.25,43.58,97,222.59,43.58
15364,1536,和大四,汽車,71.47,51.5,72.06,97.75,135.65,72.06
15601,1560,中砂一,機械,284.6,540,189.74,181,95.39,189.74
15864,1586,和勤四,塑膠,30.74,21.7,70.59,102.4,145.06,70.59
15865,1586,和勤五,塑膠,30.14,21.7,72.00,98.7,137.09,72.00
15894,1589,永冠四KY,其他,60.7,,,,,
15952,1595,川寶二,其他,37.7,72.8,193.10,175,90.63,193.10
15984,1598,岱宇四,運動休閒,32.7,20.8,63.61,95.05,149.43,63.61
16095,1609,大亞五,電線電纜,51.3,32.2,62.77,103.9,165.53,62.77
17813,1781,合世三,,18,10.8,60.00,101.35,168.92,60.00
17863,1786,科妍三,生技醫療,116.5,57.5,49.36,100.1,202.81,49.36
19094,1909,榮成四,造紙,23.9,9.05,37.87,96.6,255.11,37.87
20344,2034,允強四,鋼鐵,24,21.3,88.75,106.8,120.34,88.75
20662,2066,世德二,鋼鐵,88.1,46.5,52.78,99,187.57,52.78
21043,2104,國際中橡三,橡膠,21.2,10.7,50.47,99,196.15,50.47
22013,2201,裕隆三,汽車,75,27,36.00,100.4,278.89,36.00
22283,2228,劍麟三,汽車零件,85.36,87.2,102.16,115.5,113.06,102.16
22331,2233,宇隆一,汽車零件,250,300,120.00,140.15,116.79,120.00
22362,2236,百達二KY,汽車零件,61,132,216.39,,,216.39
22363,2236,百達三KY,汽車零件,118.1,132,111.77,109.5,97.97,111.77
22471,2247,汎德永業一,汽車,282.8,212.5,75.14,101.7,135.34,75.14
22472,2247,汎德永業二,汽車,273.8,212.5,77.61,100.8,129.88,77.61
23291,2329,華泰一,半導體,51.3,54.9,107.02,124.1,115.96,107.02
23372,2337,旺宏二,半導體,23,154,669.57,715,106.79,669.57
23383,2338,光罩三,半導體,73.5,47,63.95,99,154.82,63.95
23511,2351,順德一,電子零組件,72.4,154,212.71,211,99.20,212.71
23683,2368,金像電三,半導體,450,1390,308.89,308,99.71,308.89
23742,2374,佳能二,電腦周邊,86.3,78.4,90.85,127.05,139.85,90.85
24023,2402,毅嘉三,電子零組件,55,70.2,127.64,140,109.69,127.64
24271,2427,三商電一,電子通路,26.3,21.1,80.23,97.7,121.78,80.23
24361,2436,偉詮電一,半導體,53.3,72.7,136.40,131.3,96.26,136.40
24394,2439,美律四,電子零組件,128.9,86,66.72,105.75,158.50,66.72
24395,2439,美律五,電子零組件,125.2,86,68.69,108.2,157.52,68.69
24423,2442,新美齊三,電子零組件,25.1,18.25,72.71,96.8,133.13,72.71
24424,2442,新美齊四,電子零組件,25.3,18.25,72.13,96.8,134.19,72.13
24552,2455,全新二,半導體,162.9,347.5,213.32,234,109.69,213.32
24553,2455,全新三,半導體,153.5,347.5,226.38,237,104.69,226.38
24624,2462,良得電四,電子零組件,30.09,21.1,70.12,99,141.18,70.12
24642,2464,盟立二,電子零組件,78.5,113.5,144.59,146,100.98,144.59
24672,2467,志聖二,半導體設備,250.6,609,243.02,220,90.53,243.02
24673,2467,志聖三,半導體設備,246.6,609,246.96,222,89.89,246.96
24762,2476,鉅祥二,電子零組件,66.5,117,175.94,179,101.74,175.94
24866,2486,一詮六,電子零組件,125.2,270.5,216.05,215,99.51,216.05
25283,2528,皇普三,建設,42.4,22.5,53.07,105,197.87,53.07
25284,2528,皇普四,建設,41,22.5,54.88,91.25,166.28,54.88
25303,2530,華建三,建設,32.2,20.85,64.75,93.1,143.78,64.75
25304,2530,華建四,建設,30.2,20.85,69.04,94.3,136.59,69.04
25483,2548,華固三,建設,125,126,100.80,107.5,106.65,100.80
25484,2548,華固四,建設,123.5,126,102.02,111.5,109.29,102.02
26107,2610,華航七,航運,16.9,17.9,105.92,,,105.92
26417,2641,正德七,航運,22.15,17.15,77.43,99,127.86,77.43
26418,2641,正德八,航運,19.3,17.15,88.86,102.5,115.35,88.86
27271,2727,王品一,餐飲,233.4,226.5,97.04,108.8,112.11,97.04
27323,2732,六角三,餐飲,124.8,65.4,52.40,100.65,192.07,52.40
27324,2732,六角四,餐飲,74.3,65.4,88.02,103.8,117.93,88.02
27431,2743,山富一,觀光,101.9,71.2,69.87,102,145.98,69.87
27451,2745,五福一,觀光,111.3,102.5,92.09,110.8,120.31,92.09
27531,2753,八方雲集一,餐飲,207.6,177.5,85.50,107.05,125.20,85.50
27532,2753,八方雲集二,餐飲,205.6,177.5,86.33,108,125.10,86.33
27551,2755,揚秦一,餐飲,86.7,135,155.71,156,100.19,155.71
27561,2756,聯發國際一,餐飲,90.1,66.7,74.03,100.65,135.96,74.03
29061,2906,高林一,百貨,16.8,12.4,73.81,98.65,133.65,73.81
30061,3006,晶豪科一,半導體,83.6,169.5,202.75,,,202.75
30112,3011,今皓二,其他電子,12.5,14.05,112.40,121,107.65,112.40
30134,3013,晟銘電四,其他電子,143.8,104.5,72.67,124.5,171.32,72.67
30165,3016,嘉晶五,半導體,71.4,89.7,125.63,127.95,101.85,125.63
30321,3032,偉訓一,電子通路,105.9,64,60.43,90,148.92,60.43
30322,3032,偉訓二,電子通路,101.9,64,62.81,91.3,145.37,62.81
30336,3033,威健六,電子通路,24.84,35.75,143.92,146,101.44,143.92
30337,3033,威健七,電子通路,34.44,35.75,103.80,107,103.08,103.80
30371,3037,欣興一,PCB,164.1,883,538.09,542,100.73,538.09
30401,3040,遠見一,其他電子,47.2,42.85,90.78,105.3,115.99,90.78
30454,3045,台灣大四,電信,118.2,111.5,94.33,100.4,106.43,94.33
30455,3045,台灣大五,電信,111.3,111.5,100.18,103.6,103.41,100.18
30882,3088,艾訊二,其他電子,88.5,108,122.03,116,95.06,122.03
30922,3092,鴻碩二,電子零組件,36,32,88.89,100.05,112.56,88.89
30954,3095,及成四,其他電子,39.5,41.2,104.30,120.55,115.58,104.30
31222,3122,笙泉二,半導體,42.3,32.7,77.30,100.1,129.49,77.30
31282,3128,昇銳二,其他電子,37.8,23.8,62.96,99.2,157.55,62.96
31311,3131,弘塑一,半導體設備,1736.5,2950,169.88,166,97.71,169.88
31312,3131,弘塑二,半導體設備,1626.6,2950,181.36,174,95.94,181.36
31351,3135,凌航一,半導體,50.85,141.5,278.27,299,107.45,278.27
31382,3138,耀登二,電子零組件,114.7,152,132.52,,,132.52
31413,3141,晶宏三,半導體,93.6,47.85,51.12,99.5,194.63,51.12
31672,3167,大量二,半導體設備,169.1,861,509.17,459,90.15,509.17
31882,3188,鑫龍騰二,其他電子,31.4,25.75,82.01,97,118.28,82.01
32071,3207,耀勝一,其他電子,100.99,62.3,61.69,100,162.10,61.69
32571,3257,虹冠電一,其他電子,72.2,53.3,73.82,106,143.59,73.82
32608,3260,威剛八,電腦周邊,228.9,436,190.48,197,103.43,190.48
32723,3272,東碩三,其他電子,34.2,17.9,52.34,79,150.94,52.34
32843,3284,太普高三,其他電子,23.91,15.7,65.66,93,141.63,65.66
33035,3303,岱稜五,光電,58.6,49,83.62,100,119.59,83.62
33055,3305,昇貿五,電子通路,73.3,108.5,148.02,140,94.58,148.02
33121,3312,弘憶股一,其他電子,73.2,40.8,55.74,96.35,172.86,55.74
33133,3313,斐成三,其他電子,15.7,12.05,76.75,107,139.41,76.75
33225,3322,建舜電五,其他電子,22.97,13.5,58.77,98.2,167.09,58.77
33233,3323,加百裕三,電子零組件,32.6,33.65,103.22,100.2,97.07,103.22
33245,3324,雙鴻五,散熱,734.4,1140,155.23,162,104.36,155.23
33246,3324,雙鴻六,散熱,1124,1140,101.42,142.25,140.25,101.42
33247,3324,雙鴻七,散熱,1105,1140,103.17,138.5,134.25,103.17
33466,3346,麗清六,光電,36.5,17.15,46.99,97.45,207.40,46.99
33571,3357,臺慶科一,其他電子,107.4,165,153.63,157,102.19,153.63
33621,3362,先進光一,光電,251,108,43.03,102,237.06,43.03
33763,3376,新日興三,電子零組件,195.2,204,104.51,138.7,132.72,104.51
33881,3388,崇越電一,電子通路,62.8,114.5,182.32,177,97.08,182.32
33902,3390,旭軟二,其他電子,24.2,25.35,104.75,130,124.10,104.75
34163,3416,融程電三,其他電子,127.1,157.5,123.92,128.9,104.02,123.92
34793,3479,安勤三,其他電子,109.3,90.7,82.98,106,127.74,82.98
34834,3483,力致四,其他電子,136.1,92.8,68.19,108.2,158.69,68.19
34843,3484,崧騰三,其他電子,42.2,44.7,105.92,115.25,108.80,105.92
35161,3516,亞帝歐一,其他電子,25.81,20.4,79.04,111.45,141.01,79.04
35181,3518,柏騰一,其他電子,34.9,32.8,93.98,117,124.49,93.98
